Day - 15,Day - 17,Day - 18,Day - 20,Day - 19,Day,OPP - 2020,AB - 2020,H - 2020,Y/N 20,OPP - 2019,Ab - 2019,H - 2019,Y/N 19,OPP - 2018,AB -2018,H - 2018,Y/N 18,OPP - 2017,AB - 2017,H- 2017,Y/N 17,OPP - 2016,AB - 2016,H - 2016,Y/N 16,OPP -2015,AB - 2015,H - 2015,Y/N 15
1,1,1,1,1,1,vs SEA,4,1,1,@ TB,3,0,0,@ TEX,3,1,1,vs SEA,2,1,1,@ NYY,4,1,1,@ CWS,4,1,1
2,2,2,2,2,2,vs SEA,3,1,1,@ TEX,4,3,1,@ TEX,3,0,0,vs SEA,2,0,0,@ NYY,5,4,1,@ CWS,4,2,1
3,3,3,3,3,3,vs SEA,3,1,1,@ TEX,4,1,1,@ TEX,5,4,1,vs SEA,6,2,1,@ NYY,4,0,0,@ CWS,4,1,1
4,4,4,4,4,4,vs SEA,3,1,1,@ TEX,4,1,1,@ TEX,5,2,1,vs SEA,3,0,0,@ MIL,4,2,1,vs SEA,4,1,1
5,5,5,5,5,5,vs LAD,4,3,1,vs OAK,3,1,1,vs BAL,1,0,0,vs KC,4,1,1,@ MIL,3,0,0,vs SEA,3,0,0
6,6,6,6,6,6,vs LAD,5,2,1,vs OAK,4,0,0,vs BAL,2,2,1,vs KC,3,0,0,@ MIL,3,0,0,vs SEA,6,1,1
7,7,7,7,7,7,@ LAA,4,1,1,vs OAK,5,1,1,vs SD,3,0,0,vs KC,5,2,1,vs KC,5,3,1,vs COL,4,3,1
8,8,8,8,8,8,@ LAA,5,0,0,vs NYY,4,2,1,vs SD,4,0,0,@ SEA,4,3,1,vs KC,3,1,1,vs COL,5,2,1
9,9,9,9,9,9,@ LAA,2,1,1,vs NYY,3,0,0,vs SD,3,0,0,@ SEA,5,0,0,vs KC,4,0,0,@ COL,5,3,1
10,10,10,10,10,10,@ ARI,3,3,1,vs NYY,4,3,1,@ MIN,4,2,1,@ SEA,5,2,1,vs KC,4,1,1,@ COL,4,1,1
11,11,11,11,11,11,@ ARI,4,2,1,@ SEA,3,2,1,@ MIN,4,0,0,@ OAK,5,0,0,vs DET,3,0,0,@ SEA,4,0,0
12,12,12,12,12,12,@ ARI,4,1,1,@ SEA,4,0,0,@ MIN,4,2,1,@ OAK,3,0,0,vs DET,3,0,0,@ SEA,4,1,1
13,13,13,13,13,13,@ OAK,4,1,1,@ SEA,3,1,1,vs TEX,4,0,0,vs LAA,2,0,0,@ TEX,3,1,1,@ SEA,5,1,1
14,14,14,14,14,14,@ OAK,3,1,1,@ OAK,4,0,0,vs TEX,5,1,1,@ TB,3,0,0,@ TEX,4,1,1,@ LAA,3,0,0
